date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:23	344990/344990	---M--	200	added ('OK')	image/jpeg	etag:%222c41016-5439e-514762cf41f62%22	http://martaniandemo.com/html/insurance/_assets/_img/young-couple-smiling-at-the-camera-outside-their-car.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/young-couple-smiling-at-the-camera-outside-their-car.jpg	(from http://martaniandemo.com/html/insurance/index.html)
17:02:26	18183/18183	---M-Z	200	added ('OK')	application/javascript	etag:%223221826-4707-511f527d4d56d%22	http://martaniandemo.com/html/insurance/_assets/_libs/no-ui-slider/jquery.nouislider.all.min.js	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/no-ui-slider/jquery.nouislider.all.min.js	(from http://martaniandemo.com/html/insurance/index.html)
17:02:28	11743/11743	---M-Z	200	added ('OK')	application/javascript	etag:%222c407a4-2ddf-51231b22aefee%22	http://martaniandemo.com/html/insurance/_assets/_libs/smoothscroll.js	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/smoothscroll.js	(from http://martaniandemo.com/html/insurance/index.html)
17:02:28	84244/84244	---M-Z	200	added ('OK')	application/javascript	etag:%222c41c80-14914-5118c94a1569a%22	http://martaniandemo.com/html/insurance/_assets/_libs/jquery.js	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/jquery.js	(from http://martaniandemo.com/html/insurance/index.html)
17:02:29	1851/1851	---M-Z	200	added ('OK')	application/javascript	etag:%222c4086c-73b-5145ee8059645%22	http://martaniandemo.com/html/insurance/_assets/_libs/parallax.js	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/parallax.js	(from http://martaniandemo.com/html/insurance/index.html)
17:02:30	52775/52775	---M-Z	200	added ('OK')	application/javascript	etag:%222c41c7e-ce27-51829711267a2%22	http://martaniandemo.com/html/insurance/_assets/_js/functions.js	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_js/functions.js	(from http://martaniandemo.com/html/insurance/index.html)
17:02:32	318571/318571	---M--	200	added ('OK')	image/jpeg	etag:%222c4100d-4dc6b-51475914ce40f%22	http://martaniandemo.com/html/insurance/_assets/_img/explaining-viewpoint.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/explaining-viewpoint.jpg	(from http://martaniandemo.com/html/insurance/index.html)
17:02:39	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222c41c86-ed5f-5118c94b674c5%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfont.eot?v=4.3.0	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfonte0a5.eot	(from http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css)
17:02:40	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222c41c86-ed5f-5118c94b674c5%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfont.eot?	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css)
17:02:42	56780/56780	---M-Z	200	added ('OK')	text/plain	etag:%222c41c8a-ddcc-5118c94c36539%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfonte0a5.woff2	(from http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css)
